2024-04-24 10:47:11 status unpacked util-linux:amd64 2.39.3-9ubuntu6
2024-04-24 10:47:11 install zlib1g:amd64 <none> 1:1.3.dfsg-3.1ubuntu2
2024-04-24 10:47:11 status half-installed zlib1g:amd64 1:1.3.dfsg-3.1ubuntu2
2024-04-24 10:47:11 status unpacked zlib1g:amd64 1:1.3.dfsg-3.1ubuntu2
2024-04-24 10:47:11 startup packages configure
2024-04-24 10:47:11 configure gcc-14-base:amd64 14-20240412-0ubuntu1 <none>
2024-04-24 10:47:11 status unpacked gcc-14-base:amd64 14-20240412-0ubuntu1
2024-04-24 10:47:11 status half-configured gcc-14-base:amd64 14-20240412-0ubuntu1
2024-04-24 10:47:11 status installed gcc-14-base:amd64 14-20240412-0ubuntu1
2024-04-24 10:47:11 configure libaudit-common:all 1:3.1.2-2.1build1 <none>
2024-04-24 10:47:11 status unpacked libaudit-common:all 1:3.1.2-2.1build1
2024-04-24 10:47:11 status half-configured libaudit-common:all 1:3.1.2-2.1build1
2024-04-24 10:47:11 status installed libaudit-common:all 1:3.1.2-2.1build1
2024-04-24 10:47:11 configure libsemanage-common:all 3.5-1build5 <none>
2024-04-24 10:47:11 status unpacked libsemanage-common:all 3.5-1build5
2024-04-24 10:47:11 status half-configured libsemanage-common:all 3.5-1build5
2024-04-24 10:47:11 status installed libsemanage-common:all 3.5-1build5
2024-04-24 10:47:11 configure debconf:all 1.5.86ubuntu1 <none>
2024-04-24 10:47:11 status unpacked debconf:all 1.5.86ubuntu1
2024-04-24 10:47:11 status half-configured debconf:all 1.5.86ubuntu1
2024-04-24 10:47:11 status installed debconf:all 1.5.86ubuntu1
2024-04-24 10:47:11 configure ncurses-base:all 6.4+20240113-1ubuntu2 <none>
2024-04-24 10:47:11 status unpacked ncurses-base:all 6.4+20240113-1ubuntu2
2024-04-24 10:47:11 status half-configured ncurses-base:all 6.4+20240113-1ubuntu2
2024-04-24 10:47:11 status installed ncurses-base:all 6.4+20240113-1ubuntu2
2024-04-24 10:47:11 configure init-system-helpers:all 1.66ubuntu1 <none>
2024-04-24 10:47:11 status unpacked init-system-helpers:all 1.66ubuntu1
2024-04-24 10:47:11 status half-configured init-system-helpers:all 1.66ubuntu1
2024-04-24 10:47:11 status installed init-system-helpers:all 1.66ubuntu1
2024-04-24 10:47:11 configure sensible-utils:all 0.0.22 <none>
2024-04-24 10:47:11 status unpacked sensible-utils:all 0.0.22
